#x-axis	2
#second	Volt
+574.000E-03	-186.744E-03
+575.000E-03	-183.327E-03
+576.000E-03	-128.653E-03
+577.000E-03	-73.980E-03
+578.000E-03	-183.327E-03
+579.000E-03	-183.327E-03
+580.000E-03	-183.327E-03
+581.000E-03	-128.653E-03
+582.000E-03	-19.307E-03
+583.000E-03	+308.734E-03
+584.000E-03	+1.566221E+00
+585.000E-03	+2.929638E+00
+586.000E-03	+1.074161E+00
+587.000E-03	+254.060E-03
+588.000E-03	-19.307E-03
+589.000E-03	-132.070E-03
+590.000E-03	-238.000E-03
+591.000E-03	-183.327E-03
+592.000E-03	-128.653E-03
+593.000E-03	-128.653E-03
+594.000E-03	-183.327E-03
+595.000E-03	-186.744E-03
+596.000E-03	-183.327E-03
+597.000E-03	-128.653E-03
+598.000E-03	+86.623E-03
+599.000E-03	+527.427E-03
+600.000E-03	+2.003608E+00
+601.000E-03	+2.546925E+00
+602.000E-03	+800.794E-03
+603.000E-03	+144.714E-03
+604.000E-03	-73.980E-03
+605.000E-03	-132.070E-03
+606.000E-03	-183.327E-03
+607.000E-03	-183.327E-03
+608.000E-03	-73.980E-03
+609.000E-03	-128.653E-03
+610.000E-03	-132.070E-03
+611.000E-03	-238.000E-03
+612.000E-03	-183.327E-03
+613.000E-03	-73.980E-03
+614.000E-03	+90.040E-03
+615.000E-03	+636.774E-03
+616.000E-03	+2.495668E+00
+617.000E-03	+2.164211E+00
+618.000E-03	+633.357E-03
+619.000E-03	+90.040E-03
+620.000E-03	-77.397E-03
+621.000E-03	-183.327E-03
+622.000E-03	-186.744E-03
+623.000E-03	-183.327E-03
+624.000E-03	-128.653E-03
+625.000E-03	-128.653E-03
+626.000E-03	-183.327E-03
+627.000E-03	-183.327E-03
+628.000E-03	-183.327E-03
+629.000E-03	-73.980E-03
+630.000E-03	+144.714E-03
+631.000E-03	+910.141E-03
+632.000E-03	+2.769035E+00
+633.000E-03	+1.730241E+00
+634.000E-03	+469.337E-03
+635.000E-03	+35.367E-03
+636.000E-03	-128.653E-03
+637.000E-03	-183.327E-03
+638.000E-03	-238.000E-03
+639.000E-03	-128.653E-03
+640.000E-03	-77.397E-03
+641.000E-03	-128.653E-03
+642.000E-03	-183.327E-03
+643.000E-03	-238.000E-03
+644.000E-03	-183.327E-03
+645.000E-03	-19.307E-03
+646.000E-03	+250.643E-03
+647.000E-03	+1.128834E+00
+648.000E-03	+2.878382E+00
+649.000E-03	+1.398784E+00
+650.000E-03	+363.407E-03
+651.000E-03	+35.367E-03
+652.000E-03	-128.653E-03
+653.000E-03	-238.000E-03
+654.000E-03	-183.327E-03
+655.000E-03	-128.653E-03
+656.000E-03	-73.980E-03
+657.000E-03	-128.653E-03
+658.000E-03	-238.000E-03
+659.000E-03	-183.327E-03
+660.000E-03	-128.653E-03
+661.000E-03	-19.307E-03
+662.000E-03	+363.407E-03
+663.000E-03	+1.511548E+00
+664.000E-03	+2.765618E+00
+665.000E-03	+1.070744E+00
+666.000E-03	+254.060E-03
+667.000E-03	-19.307E-03
+668.000E-03	-128.653E-03
+669.000E-03	-238.000E-03
+670.000E-03	-183.327E-03
+671.000E-03	-128.653E-03
+672.000E-03	-73.980E-03
+673.000E-03	-183.327E-03
+674.000E-03	-183.327E-03
+675.000E-03	-183.327E-03
+676.000E-03	-128.653E-03
+677.000E-03	+35.367E-03
+678.000E-03	+472.754E-03
+679.000E-03	+1.948935E+00
+680.000E-03	+2.492251E+00
+681.000E-03	+797.377E-03
+682.000E-03	+144.714E-03
+683.000E-03	-73.980E-03
+684.000E-03	-183.327E-03
+685.000E-03	-238.000E-03
+686.000E-03	-183.327E-03
+687.000E-03	-77.397E-03
+688.000E-03	-73.980E-03
+689.000E-03	-183.327E-03
+690.000E-03	-238.000E-03
+691.000E-03	-183.327E-03
+692.000E-03	-73.980E-03
+693.000E-03	+90.040E-03
+694.000E-03	+636.774E-03
+695.000E-03	+2.331648E+00
+696.000E-03	+2.054864E+00
+697.000E-03	+582.100E-03
+698.000E-03	+141.296E-03
+699.000E-03	-77.397E-03
+700.000E-03	-183.327E-03
+701.000E-03	-238.000E-03
+702.000E-03	-128.653E-03
+703.000E-03	-73.980E-03
+704.000E-03	-128.653E-03
+705.000E-03	-183.327E-03
+706.000E-03	-183.327E-03
+707.000E-03	-183.327E-03
